title,id,release_date,vote_average,actors,director,composer,writer,producer
My Mom Is a Character 3,620683,2019-12-26,8.184,"['Paulo Gustavo', 'Mariana Xavier', 'Rodrigo Pandolfo']",Susana Garcia,Zé Ricardo,,Iafa Britz
Django Unchained,68718,2012-12-25,8.2,"['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio']",Quentin Tarantino,,,Stacey Sher
Memento,77,2000-10-11,8.18,"['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano']",Christopher Nolan,David Julyan,Christopher Nolan,Jennifer Todd
Violet Evergarden: Eternity and the Auto Memory Doll,610892,2019-09-06,8.2,"['Yui Ishikawa', 'Minako Kotobuki', 'Aoi Yuki']",Taichi Ishidate,Evan Call,Takaaki Suzuki,Shigeru Saito
The Usual Suspects,629,1995-07-19,8.177,"['Stephen Baldwin', 'Gabriel Byrne', 'Benicio del Toro']",Bryan Singer,John Ottman,,Michael McDonnell
Hamilton,556574,2020-07-03,8.178,"['Lin-Manuel Miranda', 'Leslie Odom Jr.', 'Renée Elise Goldsberry']",Thomas Kail,,,Thomas Kail
Investigation of a Citizen Above Suspicion,26451,1970-10-16,8.172,"['Gian Maria Volonté', 'Florinda Bolkan', 'Gianni Santuccio']",Elio Petri,Ennio Morricone,Ugo Pirro,Daniele Senatore
Tokyo Story,18148,1953-11-03,8.172,"['Chishū Ryū', 'Chieko Higashiyama', 'Setsuko Hara']",Yasujirō Ozu,Takanobu Saitō,Kōgo Noda,Takeshi Yamamoto
The Kid,10098,1921-01-21,8.2,"['Charlie Chaplin', 'Jackie Coogan', 'Carl Miller']",Charlie Chaplin,Charlie Chaplin,,Charlie Chaplin
Persona,797,1966-10-18,8.2,"['Bibi Andersson', 'Liv Ullmann', 'Margaretha Krook']",Ingmar Bergman,Lars Johan Werle,Ingmar Bergman,Ingmar Bergman
Green Snake,795607,2021-07-23,8.2,"['Tang Xiaoxi', 'Zhang Fuzheng', 'Wei Chao']",Amp Wong,,,Cui Di
My Hero Academia: Heroes Rising,592350,2019-12-20,8.165,"['Daiki Yamashita', 'Nobuhiko Okamoto', 'Yoshio Inoue']",Kenji Nagasaki,Yuki Hayashi,Yosuke Kuroda,Yoshihiro Oyabu
Scarface,111,1983-12-09,8.164,"['Al Pacino', 'Steven Bauer', 'Michelle Pfeiffer']",Brian De Palma,Giorgio Moroder,Oliver Stone,Martin Bregman
The Departed,1422,2006-10-04,8.2,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson']",Martin Scorsese,Howard Shore,William Monahan,Graham King
Vertigo,426,1958-05-28,8.162,"['James Stewart', 'Kim Novak', 'Barbara Bel Geddes']",Alfred Hitchcock,Bernard Herrmann,Alec Coppel,Alfred Hitchcock
Good Will Hunting,489,1997-12-05,8.16,"['Matt Damon', 'Robin Williams', 'Ben Affleck']",Gus Van Sant,Danny Elfman,,Lawrence Bender
20th Century Girl,851644,2022-10-06,8.162,"['Kim You-jung', 'Byeon Woo-seok', 'Park Jung-woo']",Bang Woo-ri,Dalpalan,,Kim Yong-eon
Alien,348,1979-05-25,8.159,"['Tom Skerritt', 'Sigourney Weaver', 'Veronica Cartwright']",Ridley Scott,Jerry Goldsmith,Dan O'Bannon,Gordon Carroll
Jujutsu Kaisen 0,810693,2021-12-24,8.2,"['Megumi Ogata', 'Kana Hanazawa', 'Yuichi Nakamura']",Sunghoo Park,Alisa Okehazama,Hiroshi Seko,Hiroaki Matsutani
Casablanca,289,1943-01-15,8.157,"['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid']",Michael Curtiz,Max Steiner,Julius J. Epstein,Hal B. Wallis
Capernaum,517814,2018-09-20,8.154,"['Zain Al Rafeea', 'Yordanos Shifera', 'Boluwatife Treasure Bankole']",Nadine Labaki,Khaled Mouzanar,,Michel Merkt
Dune: Part Two,693134,2024-02-27,8.151,"['Timothée Chalamet', 'Zendaya', 'Rebecca Ferguson']",Denis Villeneuve,Hans Zimmer,Denis Villeneuve,Mary Parent
Innocent Voices,20941,2005-01-28,8.151,"['Carlos Padilla', 'Xuna Primus', 'Leonor Varela']",Luis Mandoki,André Abujamra,,Elba Luis Lugo
