title,id,release_date,vote_average,actors,director,composer,writer,producer
MacGruber,37931,2010-05-21,5.422,"['Will Forte', 'Kristen Wiig', 'Ryan Phillippe']",Jorma Taccone,Matthew Compton,,Lorne Michaels
Fear and Desire,10165,1953-03-31,5.422,"['Frank Silvera', 'Kenneth Harp', 'Paul Mazursky']",Stanley Kubrick,Gerald Fried,,Stanley Kubrick
Action Point,454283,2018-06-01,5.421,"['Johnny Knoxville', 'Chris Pontius', 'Clover Nee']",Tim Kirkby,,,Derek Freda
Spawn,10336,1997-07-31,5.4,"['Michael Jai White', 'Martin Sheen', 'John Leguizamo']",Mark A.Z. Dippé,Graeme Revell,Alan B. McElroy,Clint Goldman
Jeepers Creepers: Reborn,717728,2022-09-15,5.4,"['Sydney Craven', 'Imran Adams', 'Jarreau Benjamin']",Timo Vuorensola,Trevor Gureckis,Sean-Michael Argo,Jake Seal
Madame Web,634492,2024-02-14,5.4,"['Dakota Johnson', 'Sydney Sweeney', 'Isabela Merced']",S.J. Clarkson,Johan Söderqvist,S.J. Clarkson,Lorenzo di Bonaventura
The Bling Ring,96936,2013-06-12,5.4,"['Katie Chang', 'Emma Watson', 'Taissa Farmiga']",Sofia Coppola,,,Youree Henley
Land of the Lost,18162,2009-06-05,5.423,"['Will Ferrell', 'Anna Friel', 'Danny McBride']",Brad Silberling,Michael Giacchino,,John Swallow
Paul Blart: Mall Cop,14560,2009-01-15,5.419,"['Kevin James', ""Keir O'Donnell"", 'Jayma Mays']",Steve Carr,Waddy Wachtel,Nick Bakay,Barry Bernardi
Coneheads,9612,1993-07-23,5.419,"['Dan Aykroyd', 'Jane Curtin', 'Michael McKean']",Steve Barron,David Newman,Dan Aykroyd,Lorne Michaels
Tank Girl,9067,1995-03-31,5.4,"['Lori Petty', 'Naomi Watts', 'Malcolm McDowell']",Rachel Talalay,Graeme Revell,Tedi Sarafian,Tom Astor
The 15:17 to Paris,453201,2018-02-07,5.418,"['Ray Corasani', 'Spencer Stone', 'Anthony Sadler']",Clint Eastwood,Christian Jacob,Dorothy Blyskal,Clint Eastwood
Jessabelle,203834,2014-11-07,5.418,"['Sarah Snook', 'Mark Webber', 'Joelle Carter']",Kevin Greutert,,,Jason Blum
Labor Pains,19794,2009-06-19,5.4,"['Lindsay Lohan', 'Luke Kirby', 'Chris Parnell']",Lara Shapiro,Andrew Hollander,,Avi Lerner
The Breed,10063,2006-05-17,5.417,"['Michelle Rodriguez', 'Taryn Manning', 'Eric Lively']",Nicholas Mastandrea,Marcus Trumpp,,Barbara Kearney
Bad Santa 2,338964,2016-11-23,5.416,"['Billy Bob Thornton', 'Kathy Bates', 'Tony Cox']",Mark Waters,Lyle Workman,,Andrew Gunn
Bachelorette,84174,2012-01-23,5.4,"['Kirsten Dunst', 'Rebel Wilson', 'Lizzy Caplan']",Leslye Headland,,Leslye Headland,Will Ferrell
"Honey, We Shrunk Ourselves",11425,1997-03-18,5.4,"['Rick Moranis', 'Bug Hall', 'Allison Mack']",Dean Cundey,Michael Tavera,Nell Scovell,Barry Bernardi
Northmen: A Viking Saga,286873,2014-10-23,5.419,"['Ryan Kwanten', 'James Norton', 'Ed Skrein']",Claudio Fäh,Marcus Trumpp,Matthias Bauer,Rolf Wappenschmitt
Howard the Duck,10658,1986-08-01,5.414,"['Lea Thompson', 'Jeffrey Jones', 'Tim Robbins']",Willard Huyck,John Barry,Willard Huyck,Gloria Katz
Home Sweet Hell,276839,2015-03-13,5.413,"['Katherine Heigl', 'Patrick Wilson', 'Madison Wolfe']",Anthony Burns,Josh Kelley,Carlo Allen,A.J. Buckley
The Man Who Killed Hitler and Then the Bigfoot,530081,2019-02-08,5.411,"['Sam Elliott', 'Aidan Turner', 'Caitlin FitzGerald']",Robert D. Krzykowski,Joe Kraemer,Robert D. Krzykowski,Patrick Ewald
Piranha 3D,43593,2010-08-20,5.4,"['Elisabeth Shue', ""Jerry O'Connell"", 'Steven R. McQueen']",Alexandre Aja,Michael Wandmacher,,Alexandre Aja
What Just Happened,8944,2008-10-17,5.4,"['Robert De Niro', 'Sean Penn', 'Bruce Willis']",Barry Levinson,Marcelo Zarvos,,Robert De Niro
Megalopolis,592831,2024-09-25,5.416,"['Adam Driver', 'Giancarlo Esposito', 'Nathalie Emmanuel']",Francis Ford Coppola,Osvaldo Golijov,,Fred Roos
A Vigilante,500904,2019-03-29,5.4,"['Olivia Wilde', 'Morgan Spector', 'Tonye Patano']",Sarah Daggar-Nickson,Danny Bensi,Sarah Daggar-Nickson,Ambyr Childers
Van Wilder: Freshman Year,19824,2009-06-02,5.408,"['Jonathan Bennett', 'Linden Ashby', 'Kristin Cavallari']",Harvey Glazer,Nathan Wang,,Robert L. Levy
The Happening,8645,2008-06-11,5.4,"['Mark Wahlberg', 'Zooey Deschanel', 'John Leguizamo']",M. Night Shyamalan,James Newton Howard,M. Night Shyamalan,M. Night Shyamalan
Taxi 5,434355,2018-04-07,5.407,"['Franck Gastambide', 'Malik Bentalha', 'Bernard Farcy']",Franck Gastambide,,,Luc Besson
Pay the Ghost,290637,2015-09-16,5.403,"['Nicolas Cage', 'Sarah Wayne Callies', 'Veronica Ferres']",Uli Edel,Joseph LoDuca,Daniel Kay,Nicolas Chartier
Paranormal Activity 4,82990,2012-10-17,5.4,"['Katie Featherston', 'Kathryn Newton', 'Matt Shively']",Henry Joost,,Christopher Landon,Jason Blum
Casper: A Spirited Beginning,39346,1997-09-09,5.4,"['Jeremy Foley', 'Brendon Ryan Barrett', 'Steve Guttenberg']",Sean McNamara,Udi Harpaz,Jymn Magon,Mike Elliott
Grand Isle,560192,2019-12-06,5.405,"['Nicolas Cage', 'KaDee Strickland', 'Luke Benward']",Stephen S. Campanelli,Josh Atchley,,Jake Seal
Junior,252607,2014-03-12,5.405,"['Kev Adams', 'Franck Dubosc', 'Nora Arnezeder']",Pascal Bourdiaux,,,Jean-Baptiste Dupont
Sexual Chronicles of a French Family,112160,2012-05-09,5.405,"['Mathias Melloul', 'Valérie Maës', 'Stephan Hersoen']",Jean-Marc Barr,,,Julien Bonvicini
Changing Sides,15709,2009-01-07,5.4,"['Dany Boon', 'Sophie Marceau', 'Antoine Duléry']",Pascale Pouzadoux,Éric Neveux,,Olivier Delbosc
Pet Sematary II,10906,1992-08-28,5.404,"['Edward Furlong', 'Anthony Edwards', 'Clancy Brown']",Mary Lambert,Mark Governor,Richard Outten,Ralph S. Singleton
Wrong Turn 6: Last Resort,259072,2014-08-22,5.403,"['Anthony Ilott', 'Aqueela Zoll', 'Sadie Katz']",Valeri Milev,Claude Foisy,,Phillip J. Roth
Sex Tape,225886,2014-07-17,5.402,"['Cameron Diaz', 'Jason Segel', 'Rob Corddry']",Jake Kasdan,Michael Andrews,Jason Segel,Jason Blumenthal
Virus,9423,1999-01-14,5.4,"['Jamie Lee Curtis', 'William Baldwin', 'Donald Sutherland']",John Bruno,Joel McNeely,Chuck Pfarrer,Gale Anne Hurd
I.T.,340677,2016-09-09,5.4,"['Pierce Brosnan', 'Stefanie Scott', 'James Frecheville']",John Moore,Tim Williams,Daniel Kay,Nicolas Chartier
Paranormal Activity: The Marked Ones,227348,2014-01-01,5.4,"['Andrew Jacobs', 'Jorge Diaz', 'Gabrielle Walsh']",Christopher Landon,,,Jason Blum
Silent House,92182,2011-01-21,5.4,"['Elizabeth Olsen', 'Adam Trese', 'Eric Sheffer Stevens']",Chris Kentis,Nathan Larson,Oscar Estévez,Agnès Mentre
A Nightmare on Elm Street: The Dream Child,10160,1989-08-11,5.4,"['Robert Englund', 'Lisa Wilcox', 'Erika Anderson']",Stephen Hopkins,Jay Ferguson,Leslie Bohem,Rupert Harvey
One Missed Call,6933,2008-01-04,5.4,"['Shannyn Sossamon', 'Edward Burns', 'Ana Claudia Talancón']",Eric Valette,Reinhold Heil,Andrew Klavan,Broderick Johnson
Lost in Space,2157,1998-04-03,5.4,"['William Hurt', 'Matt LeBlanc', 'Mimi Rogers']",Stephen Hopkins,Bruce Broughton,Irwin Allen,Mark W. Koch
Two,811072,2021-07-23,5.397,"['Pablo Derqui', 'Marina Gatell', 'Kandido Uranga']",Mar Targarona,Diego Navarro,,
Cold Creek Manor,12767,2003-09-19,5.396,"['Dennis Quaid', 'Sharon Stone', 'Stephen Dorff']",Mike Figgis,Mike Figgis,Richard Jefferies,Mike Figgis
Exorcist: The Beginning,11026,2004-08-20,5.4,"['Stellan Skarsgård', 'Izabella Scorupco', ""James D'Arcy""]",Renny Harlin,Trevor Rabin,Alexi Hawley,James G. Robinson
Loser,10642,2000-07-21,5.4,"['Jason Biggs', 'Mena Suvari', 'Zak Orth']",Amy Heckerling,David Kitay,,Twink Caplan
The Innkeepers,58428,2011-08-18,5.394,"['Sara Paxton', 'Pat Healy', 'Kelly McGillis']",Ti West,Jeff Grace,,Larry Fessenden
Honeymoon,254191,2014-09-12,5.393,"['Rose Leslie', 'Harry Treadaway', 'Ben Huber']",Leigh Janiak,Heather McIntosh,,Esme Howard
Freejack,9278,1992-01-17,5.4,"['Emilio Estevez', 'Mick Jagger', 'Rene Russo']",Geoff Murphy,Trevor Jones,Steven Pressfield,Stuart Oken
Mom and Dad,401561,2018-01-19,5.39,"['Nicolas Cage', 'Selma Blair', 'Anne Winters']",Brian Taylor,,,Brian Taylor
I Spy,8427,2002-10-31,5.4,"['Eddie Murphy', 'Owen Wilson', 'Famke Janssen']",Betty Thomas,Richard Gibbs,David Ronn,Betty Thomas
Fullmetal Alchemist,426285,2017-12-01,5.389,"['Ryosuke Yamada', 'Atomu Mizuishi', 'Tsubasa Honda']",Fumihiko Sori,Reiji Kitasato,Takeshi Miyamoto,
Escape Plan: The Extractors,480042,2019-06-20,5.388,"['Sylvester Stallone', 'Dave Bautista', '50 Cent']",John Herzfeld,Víctor Reyes,John Herzfeld,George Furla
Sleight,347882,2016-04-28,5.388,"['Jacob Latimore', 'Seychelle Gabriel', 'Storm Reid']",J.D. Dillard,Charles Scott IV,,Alex Theurer
Rock the Kasbah,253414,2015-10-22,5.388,"['Bill Murray', 'Zooey Deschanel', 'Bruce Willis']",Barry Levinson,Marcelo Zarvos,Mitch Glazer,Mitch Glazer
The Cave,9042,2005-08-26,5.388,"['Cole Hauser', 'Lena Headey', 'Morris Chestnut']",Bruce Hunt,Johnny Klimek,Tegan West,Tom Rosenberg
Casa de Mi Padre,80304,2012-03-15,5.4,"['Will Ferrell', 'Mariann Gavelo', 'Molly Shannon']",Matt Piedmont,Andrew Feltenstein,,Will Ferrell
Ewoks: The Battle for Endor,10372,1985-11-24,5.387,"['Wilford Brimley', 'Warwick Davis', 'Aubree Miller']",Ken Wheat,Peter Bernstein,Jim Wheat,Thomas G. Smith
The Grudge 3,1977,2009-05-12,5.4,"['Johanna Braddy', 'Emi Ikehata', 'Jadie-Rose Hobson']",Toby Wilkins,,,Takashige Ichise
There's Someone Inside Your House,512025,2021-09-24,5.386,"['Sydney Park', 'Théodore Pellerin', 'Asjha Cooper']",Patrick Brice,,Henry Gayden,James Wan
Tekken,42194,2010-03-20,5.386,"['Jonathan Patrick Foo', 'Kelly Overton', 'Cary-Hiroyuki Tagawa']",Dwight H. Little,,,
Soul Plane,12657,2004-05-28,5.4,"['Kevin Hart', 'Tom Arnold', 'Method Man']",Jessy Terrero,RZA,Chuck Wilson,Jessy Terrero
Empire State,169209,2013-09-03,5.384,"['Liam Hemsworth', 'Dwayne Johnson', 'Emma Roberts']",Dito Montiel,,,George Furla
Spy Hard,10535,1996-05-24,5.4,"['Leslie Nielsen', 'Nicollette Sheridan', 'Charles Durning']",Rick Friedberg,Bill Conti,Rick Friedberg,Doug Draizin
The Glimmer Man,9625,1996-10-04,5.4,"['Steven Seagal', 'Keenen Ivory Wayans', 'Bob Gunton']",John Gray,Trevor Rabin,Kevin Brodbin,Steven Seagal
Phantoms,9827,1998-01-23,5.4,"['Ben Affleck', ""Peter O'Toole"", 'Rose McGowan']",Joe Chappelle,David C. Williams,Dean R. Koontz,Steven A. Lane
Maggie,287424,2015-05-08,5.38,"['Arnold Schwarzenegger', 'Abigail Breslin', 'Joely Richardson']",Henry Hobson,David Wingo,,Trevor Kaufman
Cats & Dogs,10992,2001-07-04,5.378,"['Jeff Goldblum', 'Elizabeth Perkins', 'Alexander Pollock']",Lawrence Guterman,John Debney,John Requa,Christopher DeFaria
The Farm,517764,2019-04-19,5.4,"['Nora Yessayan', 'Alec Gaylord', 'Ken Volok']",Hans Stjernswärd,,,Jaime Carbajal
The Roommate,49950,2011-02-04,5.377,"['Leighton Meester', 'Minka Kelly', 'Cam Gigandet']",Christian E. Christiansen,John Frizzell,,Doug Davison
Did You Hear About the Morgans?,24438,2009-12-17,5.4,"['Hugh Grant', 'Sarah Jessica Parker', 'Sam Elliott']",Marc Lawrence,Theodore Shapiro,,Liz Glotzer
Beverly Hills Chihuahua,14405,2008-10-03,5.4,"['Drew Barrymore', 'Piper Perabo', 'Andy García']",Raja Gosnell,Heitor Pereira,Jeffrey Bushell,David Hoberman
The Layover,339404,2017-09-01,5.379,"['Alexandra Daddario', 'Kate Upton', 'Matt Barr']",William H. Macy,,David Hornsby,Aaron L. Gilbert
Max Payne,13051,2008-10-15,5.376,"['Mark Wahlberg', 'Mila Kunis', 'Beau Bridges']",John Moore,Marco Beltrami,Beau Thorne,Scott Faye
ABCs of Death 2,193726,2014-10-02,5.374,"['Eric Jacobus', 'Julian Barratt', 'Ian Virgo']",Rodney Ascher,Andre Roessler,,Peter Katz
Contracted,204349,2013-07-07,5.377,"['Najarra Townsend', 'Caroline Williams', 'Katie Stegeman']",Eric England,Kevin Riepl,,Eric England
Knock Knock,263472,2015-06-26,5.4,"['Keanu Reeves', 'Lorenza Izzo', 'Ana de Armas']",Eli Roth,Manuel Riveiro,Guillermo Amoedo,Cassian Elwes
Serving Sara,12771,2002-08-23,5.4,"['Matthew Perry', 'Elizabeth Hurley', 'Vincent Pastore']",Reginald Hudlin,Marcus Miller,Jay Scherick,Dan Halsted
Swamp Thing,17918,1982-01-01,5.4,"['Louis Jourdan', 'Adrienne Barbeau', 'Ray Wise']",Wes Craven,Harry Manfredini,,Michael Uslan
Velvet Buzzsaw,463684,2019-02-01,5.364,"['Rene Russo', 'Jake Gyllenhaal', 'Zawe Ashton']",Dan Gilroy,Marco Beltrami,,Jennifer Fox
Downsizing,301337,2017-12-22,5.364,"['Matt Damon', 'Christoph Waltz', 'Hong Chau']",Alexander Payne,Rolfe Kent,Jim Taylor,Jim Burke
The Hunchback of Notre Dame II,12448,2002-02-06,5.364,"['Tom Hulce', 'Jennifer Love Hewitt', 'Jason Alexander']",Bradley Raymond,Carl Johnson,Flip Kobler,Stephen Swofford
Management,21583,2009-02-08,5.4,"['Jennifer Aniston', 'Steve Zahn', 'Woody Harrelson']",Stephen Belber,Rob Simonsen,,Marty Bowen
The Duel,333386,2016-06-24,5.362,"['Woody Harrelson', 'Liam Hemsworth', 'Alice Braga']",Kieran Darcy-Smith,,,David Hoberman
Cannonball Run II,11950,1984-06-29,5.4,"['Burt Reynolds', 'Dom DeLuise', 'Dean Martin']",Hal Needham,Al Capps,Hal Needham,Albert S. Ruddy
Black Knight,11469,2001-11-21,5.362,"['Martin Lawrence', 'Marsha Thomason', 'Tom Wilkinson']",Gil Junger,Elton Ahi,,Michael Green
Teeth,13121,2008-01-18,5.4,"['Jess Weixler', 'John Hensley', 'Josh Pais']",Mitchell Lichtenstein,Robert Miller,,Joyce Pierpoline
Hollywoo,80015,2011-12-07,5.357,"['Florence Foresti', 'Jamel Debbouze', 'Nikki DeLoach']",Pascal Serieis,,,David Giordano
"I, Frankenstein",100241,2014-01-22,5.4,"['Aaron Eckhart', 'Yvonne Strahovski', 'Bill Nighy']",Stuart Beattie,Reinhold Heil,Stuart Beattie,Gary Lucchesi
Ghostbusters,43074,2016-07-14,5.354,"['Kristen Wiig', 'Melissa McCarthy', 'Kate McKinnon']",Paul Feig,Theodore Shapiro,Katie Dippold,Ivan Reitman
I Still Know What You Did Last Summer,3600,1998-11-13,5.353,"['Jennifer Love Hewitt', 'Freddie Prinze Jr.', 'Brandy Norwood']",Danny Cannon,John Frizzell,Trey Callaway,Neal H. Moritz
Vehicle 19,180948,2013-03-07,5.352,"['Paul Walker', 'Naima McLean', 'Gys de Villiers']",Mukunda Michael Dewil,,,Peter Safran
The Cold Light of Day,77948,2012-04-04,5.4,"['Henry Cavill', 'Bruce Willis', 'Sigourney Weaver']",Mabrouk El Mechri,Lucas Vidal,,Marc D. Evans
Halloween II,24150,2009-08-28,5.35,"['Malcolm McDowell', 'Scout Taylor-Compton', 'Tyler Mane']",Rob Zombie,Tyler Bates,,Malek Akkad
A Good Marriage,288281,2014-10-03,5.4,"['Joan Allen', 'Anthony LaPaglia', 'Stephen Lang']",Peter Askin,,,Peter Askin
Slumber,463602,2017-12-01,5.349,"['Maggie Q', 'Will Kemp', 'Sylvester McCoy']",Jonathan Hopkins,,,Pascal Degove
Dominion: Prequel to The Exorcist,12700,2005-05-20,5.3,"['Stellan Skarsgård', 'Gabriel Mann', 'Clara Bellar']",Paul Schrader,Angelo Badalamenti,,James G. Robinson
Snatched,373569,2017-05-03,5.3,"['Amy Schumer', 'Goldie Hawn', 'Tom Bateman']",Jonathan Levine,Theodore Shapiro,Kim Caramele,Paul Feig
Visions,353686,2015-08-28,5.347,"['Anson Mount', 'Isla Fisher', 'Jeff Branson']",Kevin Greutert,Anton Sanko,Lucas Sussman,Jason Blum
Red Sonja,9626,1985-04-09,5.3,"['Arnold Schwarzenegger', 'Brigitte Nielsen', 'Sandahl Bergman']",Richard Fleischer,Ennio Morricone,Clive Exton,Christian Ferry
The Next Karate Kid,11231,1994-07-18,5.3,"['Pat Morita', 'Hilary Swank', 'Michael Ironside']",Christopher Cain,Bill Conti,Mark Lee,Jerry Weintraub
Supergirl,9651,1984-07-01,5.345,"['Faye Dunaway', 'Helen Slater', ""Peter O'Toole""]",Jeannot Szwarc,Jerry Goldsmith,David Odell,Timothy Burrill
Wrecked,50838,2010-04-01,5.344,"['Adrien Brody', 'Caroline Dhavernas', 'Ryan Robbins']",Michael Greenspan,Michael Brook,,Kyle Mann
Little Black Book,14846,2004-08-06,5.3,"['Brittany Murphy', 'Holly Hunter', 'Kathy Bates']",Nick Hurran,Christophe Beck,Elisa Bell,Elaine Goldsmith-Thomas
2067,528085,2020-10-01,5.342,"['Kodi Smit-McPhee', 'Ryan Kwanten', ""Sana'a Shaik""]",Seth Larney,,,Kate Croser
Look Who's Talking Now!,11982,1993-11-05,5.3,"['John Travolta', 'Kirstie Alley', 'Diane Keaton']",Tom Ropelewski,William Ross,,Jonathan D. Krane
Stuck on You,1792,2003-12-10,5.3,"['Matt Damon', 'Greg Kinnear', 'Eva Mendes']",Bobby Farrelly,Charlie Gartner,Bobby Farrelly,Bobby Farrelly
Nicholas on Holiday,277368,2014-07-09,5.338,"['Valérie Lemercier', 'Kad Merad', 'Mathéo Boisselier']",Laurent Tirard,,,
"Neuilly sa mère, sa mère !",481762,2018-08-08,5.337,"['Samy Seghir', 'Jérémy Denisty', 'Denis Podalydès']",Gabriel Julien-Laferrière,,,
Tammy,226486,2014-07-02,5.3,"['Melissa McCarthy', 'Susan Sarandon', 'Kathy Bates']",Ben Falcone,Michael Andrews,,Adam McKay
The Flintstones,888,1994-05-26,5.334,"['John Goodman', 'Elizabeth Perkins', 'Rick Moranis']",Brian Levant,Ted Nichols,Tom S. Parker,Bruce Cohen
Amityville: The Awakening,203835,2017-06-30,5.3,"['Bella Thorne', 'Cameron Monaghan', 'Jennifer Jason Leigh']",Franck Khalfoun,Robin Coudert,,Jason Blum
A Good Day to Die Hard,47964,2013-02-06,5.332,"['Bruce Willis', 'Jai Courtney', 'Sebastian Koch']",John Moore,Marco Beltrami,Skip Woods,Alex Young
Lolo,341392,2015-09-03,5.331,"['Dany Boon', 'Julie Delpy', 'Vincent Lacoste']",Julie Delpy,Mathieu Lamboley,,Michaël Gentile
Monolith,408381,2016-05-12,5.338,"['Katrina Bowden', 'Nixon Hodges', 'Crew Hodges']",Ivan Silvestrini,,Elena Bucaccio,Claudio Falconi
Material Girls,10118,2006-08-18,5.3,"['Hilary Duff', 'Haylie Duff', 'María Conchita Alonso']",Martha Coolidge,Jennie Muskett,,Brent Emery
Sleeping Beauty,64586,2011-06-10,5.327,"['Emily Browning', 'Rachael Blake', 'Ewen Leslie']",Julia Leigh,Ben Frost,,Jessica Brentnall
Serial Teachers 2,325844,2015-07-01,5.326,"['Kev Adams', 'Isabelle Nanty', 'Didier Bourdon']",Pierre-François Martin-Laval,Matthieu Gonet,Mathias Gavarry,Romain Rojtman
Independence Day: Resurgence,47933,2016-06-22,5.326,"['Liam Hemsworth', 'Jeff Goldblum', 'Jessie T. Usher']",Roland Emmerich,Thomas Wander,Dean Devlin,Dean Devlin
Your Highness,38319,2011-04-08,5.327,"['Danny McBride', 'James Franco', 'Natalie Portman']",David Gordon Green,Steve Jablonsky,,Scott Stuber
Kidnapping Stella,611468,2019-06-29,5.3,"['Max von der Groeben', 'Clemens Schick', 'Jella Haase']",Thomas Sieben,,,Henning Ferber
Get a Job,186759,2016-03-17,5.319,"['Miles Teller', 'Anna Kendrick', 'Bryan Cranston']",Dylan Kidd,Jonathan Sadoff,Kyle Pennekamp,Michael Shamberg
Halloween 5: The Revenge of Michael Myers,11361,1989-10-12,5.323,"['Donald Pleasence', 'Danielle Harris', 'Ellie Cornell']",Dominique Othenin-Girard,Alan Howarth,Shem Bitterman,Ramsey Thomas
Wild Wild West,8487,1999-06-30,5.324,"['Will Smith', 'Kevin Kline', 'Kenneth Branagh']",Barry Sonnenfeld,Elmer Bernstein,Jeffrey Price,Jon Peters
The Vatican Tapes,157544,2015-07-23,5.322,"['Olivia Taylor Dudley', 'Michael Peña', 'Peter Andersson']",Mark Neveldine,Joseph Bishara,Christopher Borrelli,Chris Cowles
Edison,10064,2005-07-29,5.3,"['Morgan Freeman', 'LL Cool J', 'Justin Timberlake']",David J. Burke,Tobias Enhus,David J. Burke,John Thompson
Knock Off,37498,1998-09-04,5.3,"['Jean-Claude Van Damme', 'Rob Schneider', 'Lela Rochon']",Tsui Hark,Ron Mael,,Moshe Diamant
The Pyramid,282813,2014-12-04,5.318,"['Ashley Grace', ""Denis O'Hare"", 'James Buckley']",Grégory Levasseur,Nima Fakhrara,,Mark Canton
Demonic,234212,2015-02-12,5.318,"['Dustin Milligan', 'Scott Mechlowicz', 'Cody H. Carolin']",Will Canon,Dan Marocco,Max La Bella,Lee Clay
Arsène Lupin,11540,2004-09-17,5.3,"['Romain Duris', 'Kristin Scott Thomas', 'Eva Green']",Jean-Paul Salomé,Debbie Wiseman,Jean-Paul Salomé,Stéphane Marsil
Vanishing on 7th Street,43552,2010-09-11,5.3,"['Hayden Christensen', 'Thandiwe Newton', 'John Leguizamo']",Brad Anderson,Lucas Vidal,,Norton Herrick
Critters 3,12702,1991-12-11,5.3,"['Leonardo DiCaprio', 'John Calvin', 'Aimee Brooks']",Kristine Peterson,David C. Williams,David J. Schow,Rupert Harvey
Cold Blood,595985,2019-05-15,5.313,"['Jean Reno', 'Sarah Lind', 'David Gyasi']",Frédéric Petitjean,,,Florence Moos
211,500919,2018-05-30,5.313,"['Nicolas Cage', 'Dwayne Cameron', 'Michael Rainey Jr.']",York Alec Shackleton,Frederik Wiedmann,John Rebus,Isaac Florentine
How Do You Know,42888,2010-12-17,5.3,"['Reese Witherspoon', 'Paul Rudd', 'Owen Wilson']",James L. Brooks,Hans Zimmer,,Julie Ansell
Do Not Disturb,298614,2014-12-31,5.311,"['Christian Clavier', 'Carole Bouquet', 'Valérie Bonneton']",Patrice Leconte,Éric Neveux,Florian Zeller,Marc Missonnier
The Titan,476926,2018-03-30,5.31,"['Sam Worthington', 'Taylor Schilling', 'Tom Wilkinson']",Lennart Ruff,Fil Eisler,Max Hurwitz,Leon Clarance
November Criminals,317091,2017-11-07,5.315,"['Ansel Elgort', 'Chloë Grace Moretz', 'David Strathairn']",Sacha Gervasi,David Norland,Sacha Gervasi,Ara Keshishian
Clinical,433244,2017-01-13,5.309,"['Vinessa Shaw', 'Kevin Rahm', 'Aaron Stanford']",Alistair Legrand,,,Ross M. Dinerstein
If I Were a Boy,430528,2017-02-22,5.3,"['Audrey Dana', 'Christian Clavier', 'Eric Elmosnino']",Audrey Dana,,,Olivier Delbosc
The Bag Man,242076,2014-02-28,5.309,"['John Cusack', 'Rebecca Da Costa', 'Robert De Niro']",David Grovic,Tony Morales,,Peter D. Graves
Apollo 18,50357,2011-07-20,5.3,"['Ryan Robbins', 'Warren Christie', 'Lloyd Owen']",Gonzalo López-Gallego,Harry Cohen,Brian Miller,Timur Bekmambetov
See No Evil 2,226140,2014-10-21,5.308,"['Danielle Harris', 'Glenn Jacobs', 'Kaj-Erik Eriksen']",Jen Soska,Taylor Stewart,Bobby Lee Darby,Michael J. Luisi
Diary of a Wimpy Kid: The Long Haul,417830,2017-05-19,5.3,"['Jason Ian Drucker', 'Alicia Silverstone', 'Tom Everett Scott']",David Bowers,Edward Shearmur,,Nina Jacobson
Bis,323020,2015-02-18,5.307,"['Franck Dubosc', 'Kad Merad', 'Alexandra Lamy']",Dominique Farrugia,Julien Jaouen,Frédéric Hazan,Dominique Farrugia
Dr. Dolittle 2,10808,2001-06-22,5.307,"['Eddie Murphy', 'Kristen Wilson', 'Kyla Pratt']",Steve Carr,David Newman,Larry Levin,John Davis
Leatherface: The Texas Chainsaw Massacre III,25018,1990-01-12,5.3,"['Kate Hodge', 'Ken Foree', 'R.A. Mihailoff']",Jeff Burr,Jim Manzie,,Robert Engelman
Freddy's Dead: The Final Nightmare,11284,1991-09-05,5.304,"['Robert Englund', 'Lisa Zane', 'Shon Greenblatt']",Rachel Talalay,Brian May,Michael De Luca,Robert Shaye
The Dilemma,44564,2011-01-13,5.3,"['Vince Vaughn', 'Kevin James', 'Winona Ryder']",Ron Howard,Hans Zimmer,,Vince Vaughn
The Darkest Hour,71469,2011-12-22,5.3,"['Emile Hirsch', 'Rachael Taylor', 'Olivia Thirlby']",Chris Gorak,Tyler Bates,Jon Spaihts,Tom Jacobson
Conan the Barbarian,37430,2011-08-17,5.304,"['Jason Momoa', 'Stephen Lang', 'Rachel Nichols']",Marcus Nispel,Tyler Bates,,Les Weldon
Zoom,14113,2006-08-11,5.3,"['Tim Allen', 'Courteney Cox', 'Chevy Chase']",Peter Hewitt,Christophe Beck,Adam Rifkin,Jennifer Todd
Gotti,339103,2018-06-14,5.3,"['John Travolta', 'Spencer Rocco Lofranco', 'Kelly Preston']",Kevin Connolly,Pitbull,Lem Dobbs,Edward Norton
Deadgirl,23966,2008-09-06,5.3,"['Shiloh Fernandez', 'Noah Segan', 'Michael Bowen']",Marcel Sarmiento,,Trent Haaga,Marcel Sarmiento
Kangaroo Jack,10628,2003-01-17,5.3,"[""Jerry O'Connell"", 'Anthony Anderson', 'Estella Warren']",David McNally,Trevor Rabin,Steve Bing,Jerry Bruckheimer
Paranormal Activity: The Ghost Dimension,146301,2015-10-21,5.3,"['Chris J. Murray', 'Brit Shaw', 'Ivy George']",Gregory Plotkin,,Gavin Heffernan,Jason Blum
Nurse 3-D,78383,2013-09-28,5.298,"['Paz de la Huerta', 'Katrina Bowden', 'Judd Nelson']",Douglas Aarniokoski,Anton Sanko,Douglas Aarniokoski,Marc Bienstock
Welcome Home,525460,2018-11-16,5.295,"['Aaron Paul', 'Emily Ratajkowski', 'Riccardo Scamarcio']",George Ratliff,Bear McCreary,,Tim White
Shut In,329981,2016-11-11,5.294,"['Naomi Watts', 'Oliver Platt', 'David Cubitt']",Farren Blackburn,Nathaniel Méchaly,,Sylvain Proulx
