title,id,release_date,vote_average
Autumn Sonata,12761,1978-10-08,8.0
The Gold Rush,962,1925-07-13,8.0
Bohemian Rhapsody,424694,2018-10-24,7.982
Chungking Express,11104,1994-07-14,8.0
Like Stars on Earth,7508,2007-12-21,7.982
Bingo: The King of the Mornings,429210,2017-08-24,7.981
Ugetsu,14696,1953-03-26,8.0
North by Northwest,213,1959-07-08,8.0
The Passion of Joan of Arc,780,1928-04-21,8.0
Catch Me If You Can,640,2002-12-16,7.979
Castaway on the Moon,18438,2009-05-14,7.978
Castle in the Sky,10515,1986-08-02,8.0
Nobody Knows,2517,2004-08-07,8.0
Mirror,1396,1975-03-07,8.0
Kill Bill: Vol. 1,24,2003-10-10,7.971
Before Sunrise,76,1995-01-27,8.0
Flamin' Hot,626332,2023-03-11,7.972
Toy Story,862,1995-10-30,7.969
Trainspotting,627,1996-02-23,8.0
Kitbull,574074,2019-01-18,8.0
Three Men and a Leg,38286,1997-12-27,8.0
Forgotten,488623,2017-11-29,7.961
Monster,1050035,2023-06-02,7.96
The Boy and the Beast,315465,2015-07-11,7.96
Guardians of the Galaxy Vol. 3,447365,2023-05-03,7.959
Pink Floyd: The Wall,12104,1982-07-14,7.959
Up,14160,2009-05-28,7.958
The Sixth Sense,745,1999-08-06,8.0
Million Dollar Baby,70,2004-12-15,7.956
Farewell My Concubine,10997,1993-01-01,8.0
Spider-Man: No Way Home,634649,2021-12-15,7.954
The Circus,28978,1928-01-06,8.0
The Hidden Fortress,1059,1958-12-28,8.0
The General,961,1926-12-25,7.952
La Notte,41050,1961-01-24,8.0
A Man Escaped,15244,1956-11-11,8.0
The Iron Giant,10386,1999-08-06,8.0
Jurassic Park,329,1993-06-11,8.0
Whisper of the Heart,37797,1995-07-15,8.0
The Red Shoes,19542,1948-09-06,8.0
Aliens,679,1986-07-18,7.95
The Treasure of the Sierra Madre,3090,1948-01-15,7.949
Tel chi el telùn,160885,1999-05-12,7.947
Dersu Uzala,9764,1975-08-02,7.9
No Manches Frida 2: Paradise Lost,554596,2019-03-15,7.949
The Way He Looks,237791,2014-04-10,7.946
Akira,149,1988-06-10,7.947
Miracle in Cell No. 7,158445,2013-01-23,7.944
The Great Escape,5925,1963-07-03,7.9
Nobody,615457,2021-03-18,7.942
No Country for Old Men,6977,2007-06-13,7.9
Rope,1580,1948-03-11,7.9
Nausicaä of the Valley of the Wind,81,1984-03-11,7.943
Braveheart,197,1995-05-24,7.942
Blade Runner,78,1982-06-25,7.9
12 Years a Slave,76203,2013-10-18,7.9
Cries and Whispers,10238,1972-12-21,7.9
When Marnie Was There,242828,2014-07-19,7.9
Sanjuro,11712,1962-01-01,7.9
Suzume,916224,2022-11-11,7.936
The Exterminating Angel,29264,1962-05-16,7.9
The Cure,6715,1995-04-21,7.9
Pather Panchali,5801,1955-08-26,7.936
Gone with the Wind,770,1939-12-15,7.936
Raise the Red Lantern,10404,1991-12-18,7.935
Army of Shadows,15383,1969-09-10,7.9
Ivan Vasilyevich Changes His Profession,20803,1973-09-17,7.931
CODA,776503,2021-08-13,7.931
Me Before You,296096,2016-06-01,7.9
The Postman,11010,1994-04-07,7.9
Where Hands Touch,426618,2018-09-14,7.9
Close-Up,30017,1990-05-09,7.9
Ghost in the Shell,9323,1995-11-18,7.9
Raiders of the Lost Ark,85,1981-06-12,7.926
Dallas Buyers Club,152532,2013-11-01,7.926
Don't Look Now... We're Being Shot At!,8290,1966-12-08,7.926
Raging Bull,1578,1980-11-14,7.925
Where Is The Friend's House?,49964,1987-07-01,7.9
Ordet,48035,1955-01-09,7.922
The Cranes Are Flying,38360,1957-10-12,7.9
My Hero Academia: Two Heroes,505262,2018-08-03,7.9
It's Such a Beautiful Day,489412,2012-08-24,7.9
Freedom Writers,1646,2007-01-05,7.917
Three Colors: Red,110,1994-05-12,7.9
About Time,122906,2013-09-04,7.916
A Trip to the Moon,775,1902-06-21,7.915
Children of Heaven,21334,1997-08-01,7.915
Amarcord,7857,1973-12-18,7.915
Heat,949,1995-12-15,7.915
Amélie,194,2001-04-25,7.915
Unforgiven,33,1992-08-07,7.914
A Street Cat Named Bob,404378,2016-11-04,7.913
"Batman: The Dark Knight Returns, Part 2",142061,2013-01-03,7.913
Limelight,28971,1952-10-23,7.9
What Ever Happened to Baby Jane?,10242,1962-10-31,7.9
Throne of Blood,3777,1957-01-15,7.9
My Father's Violin,920394,2022-01-21,7.9
Inside Out,150540,2015-06-17,7.912
The Third Man,1092,1949-08-31,7.912
Chinatown,829,1974-06-20,7.911
On the Waterfront,654,1954-06-22,7.911
The Cabinet of Dr. Caligari,234,1920-02-27,7.9
Young Woman and the Sea,774531,2024-05-31,7.917
Love Hurts,51822,2002-11-08,7.91
Tokyo Godfathers,13398,2003-12-05,7.91
Mulan,10674,1998-06-18,7.908
La Strada,405,1954-09-23,7.908
Dogman,944401,2023-09-27,7.907
Titanic,597,1997-11-18,7.907
Guardians of the Galaxy,118340,2014-07-30,7.906
Harry Potter and the Philosopher's Stone,671,2001-11-16,7.906
My Fault,1010581,2023-06-08,7.901
Emilia Pérez,974950,2024-08-21,7.889
The Boy Who Harnessed the Wind,491480,2019-02-14,7.901
Captain Fantastic,334533,2016-07-08,7.903
La La Land,313369,2016-11-29,7.903
In This Corner of the World,378108,2016-11-12,7.902
Persepolis,2011,2007-06-27,7.9
Ne Zha,615453,2019-07-26,7.9
Ron's Gone Wrong,482321,2021-10-14,7.9
Divorce Italian Style,20271,1961-12-20,7.9
Nimona,961323,2023-06-23,7.899
Return of the Jedi,1892,1983-05-25,7.9
Dragon Ball Super: Super Hero,610150,2022-06-11,7.9
Yi Yi,25538,2000-09-20,7.898
In the Name of the Father,7984,1993-12-12,7.898
The Pursuit of Happyness,1402,2006-12-14,7.898
"Remi, Nobody's Boy",458302,2018-12-12,7.897
V for Vendetta,752,2006-02-23,7.898
Dangal,360814,2016-12-21,7.895
La Maison en Petits Cubes,20722,2008-06-10,7.896
The Mitchells vs. the Machines,501929,2021-04-22,7.896
Bad Genius,455714,2017-05-03,7.9
Gone Girl,210577,2014-10-01,7.892
Winter Light,29455,1963-02-11,7.892
Diabolique,827,1955-01-29,7.9
Thirteen Lives,698948,2022-07-18,7.89
Dragon Ball Super: Broly,503314,2018-12-14,7.89
A Separation,60243,2011-02-15,7.89
The Notebook,11036,2004-06-25,7.9
"Argentina, 1985",714888,2022-09-29,7.889
Coraline,14836,2009-02-05,7.889
El Infierno,52629,2010-09-03,7.9
Rebecca,223,1940-03-23,7.9
The Greatest Showman,316029,2017-12-20,7.887
Faust,10728,1926-10-13,7.887
Miraculous World: Shanghai – The Legend of Ladydragon,726684,2021-05-15,7.9
A Whisker Away,667520,2020-06-18,7.9
Invisible Life,548544,2019-08-30,7.9
The Battle of Algiers,17295,1966-09-08,7.885
Justice League: The Flashpoint Paradox,183011,2013-07-30,7.9
Ben-Hur,665,1959-11-18,7.88
Wish Dragon,550205,2021-01-15,7.881
I'm No Longer Here,582927,2019-10-21,7.9
Roman Holiday,804,1953-08-26,7.9
La Jetée,662,1962-02-16,7.9
Little Women,331482,2019-12-25,7.876
Kill Bill: Vol. 2,393,2004-04-16,7.876
Redeeming Love,698508,2022-01-21,7.874
We Are the Nobles,180147,2013-03-28,7.874
Umberto D.,833,1952-01-20,7.874
Wild Tales,265195,2014-08-21,7.873
